Team,Opponent,Matches,Wins,Draws,Losses
Belgium,Argentina,5,1,0,4
Belgium,Slovakia,4,1,2,1
Belgium,Iraq,1,1,0,0
Belgium,Albania,2,1,0,1
Belgium,Panama,1,1,0,0
Belgium,Paraguay,3,1,1,1
Belgium,Slovenia,2,1,1,0
Belgium,Egypt,4,1,0,3
Belgium,Ukraine,3,1,1,1
Belgium,Zambia,1,1,0,0
Belgium,Colombia,2,1,0,1
Belgium,N. Ireland,3,1,0,2
Belgium,Gabon,1,1,0,0
Belgium,Burkina Faso,1,1,0,0
Belgium,Montenegro,2,1,1,0
Belgium,Qatar,1,1,0,0
Belgium,USSR,5,1,0,4
Belgium,Peru,1,0,1,0
Belgium,Malta,1,0,0,1
Belgium,Ivory Coast,2,0,2,0
Belgium,Chile,2,0,2,0
Belgium,Lithuania,2,0,2,0
Belgium,Serbia-Mont.,2,0,1,1
Bosnia and Herzegovina,Liechtenstein,10,9,1,0
Bosnia and Herzegovina,Luxembourg,9,7,0,2
Bosnia and Herzegovina,Estonia,7,5,1,1
Bosnia and Herzegovina,Romania,8,4,0,4
Bosnia and Herzegovina,Malta,5,4,0,1
Bosnia and Herzegovina,Slovenia,5,4,0,1
Bosnia and Herzegovina,Lithuania,6,4,1,1
Bosnia and Herzegovina,San Marino,4,4,0,0
Bosnia and Herzegovina,Belgium,8,3,1,4
Bosnia and Herzegovina,Denmark,6,3,1,2
Bosnia and Herzegovina,Finland,7,3,2,2
Bosnia and Herzegovina,Slovakia,6,3,0,3
Bosnia and Herzegovina,Cyprus,6,3,1,2
Bosnia and Herzegovina,Wales,5,3,2,0
Bosnia and Herzegovina,Armenia,4,3,0,1
Bosnia and Herzegovina,Italy,7,2,1,4
Bosnia and Herzegovina,Turkiye,6,2,2,2
Bosnia and Herzegovina,Norway,4,2,0,2
Bosnia and Herzegovina,Belarus,2,2,0,0
Bosnia and Herzegovina,Latvia,2,2,0,0
Bosnia and Herzegovina,Albania,5,2,2,1
Bosnia and Herzegovina,Iran,8,2,1,5
Bosnia and Herzegovina,N. Ireland,3,2,0,1
Bosnia and Herzegovina,Andorra,2,2,0,0
Bosnia and Herzegovina,Malaysia,3,2,1,0
Bosnia and Herzegovina,Gibraltar,2,2,0,0
Bosnia and Herzegovina,Greece,11,1,5,5
Bosnia and Herzegovina,Austria,7,1,4,2
Bosnia and Herzegovina,Switzerland,1,1,0,0
Bosnia and Herzegovina,Bulgaria,2,1,0,1
Bosnia and Herzegovina,Kuwait,1,1,0,0
Bosnia and Herzegovina,Japan,3,1,1,1
Bosnia and Herzegovina,Ghana,1,1,0,0
Bosnia and Herzegovina,Uruguay,1,1,0,0
Bosnia and Herzegovina,Iceland,2,1,0,1
Bosnia and Herzegovina,South Korea,2,1,0,1
Bosnia and Herzegovina,Ivory Coast,1,1,0,0
Bosnia and Herzegovina,Algeria,1,1,0,0
Bosnia and Herzegovina,Chile,1,1,0,0
Bosnia and Herzegovina,South Africa,1,1,0,0
Bosnia and Herzegovina,North Macedonia,6,1,4,1
Bosnia and Herzegovina,Israel,4,1,1,2
Bosnia and Herzegovina,Mexico,4,1,0,3
Bosnia and Herzegovina,Bahrain,1,1,0,0
Bosnia and Herzegovina,Azerbaijan,1,1,0,0
Bosnia and Herzegovina,Vietnam,1,1,0,0
Bosnia and Herzegovina,Kazakhstan,2,1,1,0
Bosnia and Herzegovina,Faroe Islands,2,1,1,0
Bosnia and Herzegovina,Montenegro,4,1,3,0
Bosnia and Herzegovina,Indonesia,1,1,0,0
Bosnia and Herzegovina,Oman,1,1,0,0
Bosnia and Herzegovina,Bangladesh,1,1,0,0
Bosnia and Herzegovina,Jordan,2,1,1,0
Bosnia and Herzegovina,Germany,4,0,1,3
Bosnia and Herzegovina,England,1,0,0,1
Bosnia and Herzegovina,Portugal,6,0,1,5
Bosnia and Herzegovina,Spain,8,0,2,6
Bosnia and Herzegovina,France,6,0,3,3
Bosnia and Herzegovina,Netherlands,4,0,2,2
Bosnia and Herzegovina,Scotland,2,0,0,2
Bosnia and Herzegovina,Argentina,3,0,0,3
Bosnia and Herzegovina,Brazil,2,0,0,2
Bosnia and Herzegovina,Poland,3,0,1,2
Bosnia and Herzegovina,Nigeria,1,0,0,1
Bosnia and Herzegovina,Czechia,2,0,0,2
Bosnia and Herzegovina,Hungary,6,0,3,3
Bosnia and Herzegovina,Senegal,1,0,1,0
Bosnia and Herzegovina,USA,3,0,1,2
Bosnia and Herzegovina,Ireland,3,0,1,2
Bosnia and Herzegovina,Croatia,4,0,0,4
Bosnia and Herzegovina,Sweden,1,0,0,1
Bosnia and Herzegovina,Uzbekistan,2,0,1,1
Bosnia and Herzegovina,Zimbabwe,1,0,1,0
Bosnia and Herzegovina,Georgia,1,0,0,1
Bosnia and Herzegovina,Tunisia,1,0,0,1
Bosnia and Herzegovina,Egypt,1,0,0,1
Bosnia and Herzegovina,Ukraine,3,0,1,2
Bosnia and Herzegovina,China,1,0,0,1
Bosnia and Herzegovina,Moldova,2,0,1,1
Bosnia and Herzegovina,Costa Rica,1,0,1,0
Bosnia and Herzegovina,Qatar,2,0,1,1
Bosnia and Herzegovina,Yugoslavia,2,0,1,1
Bosnia and Herzegovina,Serbia-Mont.,3,0,1,2
Brazil,Chile,77,56,13,8
Brazil,Paraguay,85,52,19,14
Brazil,Argentina,110,45,23,42
Brazil,Uruguay,81,40,18,23
Brazil,Peru,52,38,9,5
Brazil,Ecuador,37,28,7,2
Brazil,Venezuela,30,24,5,1
Brazil,Bolivia,34,24,4,6
Brazil,Mexico,41,24,7,10
Brazil,Colombia,38,22,12,4
Brazil,USA,20,18,1,1
Brazil,Germany,23,13,5,5
Brazil,Portugal,20,13,3,4
Brazil,England,27,12,11,4
Brazil,Japan,14,11,2,1
Brazil,Sweden,15,10,3,2
Brazil,Costa Rica,12,10,1,1
Brazil,Italy,16,9,2,5
Brazil,Poland,12,9,2,1
Brazil,ČSR,17,9,6,2
Brazil,Scotland,10,8,2,0
Brazil,Bulgaria,8,8,0,0
Brazil,South Korea,9,8,0,1
Brazil,Wales,10,8,1,1
Brazil,Yugoslavia,17,8,7,2
Brazil,Austria,10,7,3,0
Brazil,France,16,6,3,7
Brazil,Australia,8,6,1,1
Brazil,Honduras,8,6,1,1
Brazil,Egypt,6,6,0,0
Brazil,Spain,10,5,3,2
Brazil,Cameroon,7,5,0,2
Brazil,Ghana,5,5,0,0
Brazil,Panama,6,5,1,0
Brazil,South Africa,5,5,0,0
Brazil,Saudi Arabia,5,5,0,0
Brazil,USSR,7,5,1,1
Brazil,Netherlands,12,4,4,4
Brazil,Turkiye,6,4,2,0
Brazil,Switzerland,10,4,4,2
Brazil,Russia,6,4,2,0
Brazil,Ireland,6,4,1,1
Brazil,Croatia,6,4,1,1
Brazil,Algeria,4,4,0,0
Brazil,Belgium,5,3,0,2
Brazil,Serbia,3,3,0,0
Brazil,Finland,3,3,0,0
Brazil,Romania,3,3,0,0
Brazil,Israel,3,3,0,0
Brazil,New Zealand,3,3,0,0
Brazil,El Salvador,3,3,0,0
Brazil,Haiti,3,3,0,0
Brazil,East Germany,4,3,1,0
Brazil,Denmark,3,2,0,1
Brazil,Czechia,2,2,0,0
Brazil,Bosnia,2,2,0,0
Brazil,Canada,4,2,2,0
Brazil,Iceland,2,2,0,0
Brazil,Morocco,3,2,0,1
Brazil,Tunisia,3,2,1,0
Brazil,Jamaica,3,2,1,0
Brazil,China,3,2,1,0
Brazil,Greece,2,1,1,0
Brazil,Nigeria,2,1,1,0
Brazil,Hungary,5,1,1,3
Brazil,Senegal,3,1,1,1
Brazil,Slovakia,1,1,0,0
Brazil,Latvia,1,1,0,0
Brazil,Iraq,1,1,0,0
Brazil,Iran,1,1,0,0
Brazil,Zimbabwe,1,1,0,0
Brazil,Ivory Coast,1,1,0,0
Brazil,Ukraine,1,1,0,0
Brazil,Zambia,1,1,0,0
Brazil,Lithuania,1,1,0,0
Brazil,Guinea,1,1,0,0
Brazil,UAE,1,1,0,0
Brazil,N. Ireland,1,1,0,0
Brazil,Thailand,1,1,0,0
Brazil,Gabon,1,1,0,0
Brazil,Estonia,1,1,0,0
Brazil,Andorra,1,1,0,0
Brazil,Guatemala,2,1,1,0
Brazil,Qatar,1,1,0,0
Brazil,Oman,1,1,0,0
Brazil,Tanzania,1,1,0,0
Brazil,North Korea,1,1,0,0
Brazil,Malaysia,1,1,0,0
Brazil,Hong Kong,1,1,0,0
Brazil,Mexico U23,1,1,0,0
Brazil,Zaire,1,1,0,0
Brazil,Romania B,2,1,1,0
Brazil,All-Star-Team,1,1,0,0
Brazil,France B,1,1,0,0
Brazil,Poland,1,1,0,0
Brazil,Denmark League,1,1,0,0
Brazil,Yugoslavia B,1,1,0,0
Brazil,Hungary B,1,1,0,0
Brazil,Norway,4,0,2,2
Brazil,Croatia U21,1,0,1,0
Brazil,Bulgaria B,1,0,1,0
Brazil,Sweden,1,0,1,0
Cabo Verde,Burkina Faso,9,5,0,4
Cabo Verde,Mauritania,6,5,0,1
Cabo Verde,Equat. Guinea,5,4,1,0
Cabo Verde,Eswatini,6,4,2,0
Cabo Verde,Mauritius,4,4,0,0
Cabo Verde,Cameroon,9,3,2,4
Cabo Verde,Angola,8,3,3,2
Cabo Verde,Togo,5,3,0,2
Cabo Verde,Mozambique,5,3,1,1
Cabo Verde,Liberia,4,3,0,1
Cabo Verde,Ghana,6,2,0,4
Cabo Verde,South Africa,6,2,1,3
Cabo Verde,Libya,4,2,1,1
Cabo Verde,Andorra,2,2,0,0
Cabo Verde,Niger,2,2,0,0
Cabo Verde,Madagascar,2,2,0,0
Cabo Verde,Tanzania,4,2,0,2
Cabo Verde,São Tomé and P.,2,2,0,0
Cabo Verde,Portugal,3,1,1,1
Cabo Verde,Serbia,1,1,0,0
Cabo Verde,Luxembourg,4,1,3,0
Cabo Verde,Zimbabwe,2,1,1,0
Cabo Verde,Malta,1,1,0,0
Cabo Verde,Algeria,6,1,2,3
Cabo Verde,Mali,2,1,0,1
Cabo Verde,Guinea-Bissau,1,1,0,0
Cabo Verde,Congo,1,1,0,0
Cabo Verde,Zambia,3,1,1,1
Cabo Verde,Guinea,3,1,0,2
Cabo Verde,Liechtenstein,1,1,0,0
Cabo Verde,Sierra Leone,2,1,0,1
Cabo Verde,Bahrain,1,1,0,0
Cabo Verde,Kenya,4,1,0,3
Cabo Verde,San Marino,1,1,0,0
Cabo Verde,Central Africa,2,1,1,0
Cabo Verde,Uganda,4,1,0,3
Cabo Verde,Ethiopia,1,1,0,0
Cabo Verde,Guyana,1,1,0,0
Cabo Verde,Malaysia,1,1,0,0
Cabo Verde,Guadeloupe,1,1,0,0
Cabo Verde,Finland,1,0,1,0
Cabo Verde,Nigeria,3,0,2,1
Cabo Verde,Senegal,9,0,0,9
Cabo Verde,Morocco,4,0,2,2
Cabo Verde,Iran,1,0,0,1
Cabo Verde,Georgia,1,0,1,0
Cabo Verde,Tunisia,4,0,1,3
Cabo Verde,Egypt,4,0,3,1
Cabo Verde,Chile,1,0,0,1
Cabo Verde,DR Congo,3,0,2,1
Cabo Verde,Rwanda,2,0,2,0
Cabo Verde,Gabon,1,0,1,0
Cabo Verde,Ecuador,1,0,0,1
Cabo Verde,The Gambia,2,0,1,1
Cabo Verde,Lesotho,2,0,2,0
Cabo Verde,Botswana,2,0,0,2
Cabo Verde,Comoros,1,0,0,1
Canada,USA,45,15,11,19
Canada,Jamaica,25,13,5,7
Canada,Cuba,17,11,4,2
Canada,El Salvador,21,11,4,6
Canada,Honduras,26,10,7,9
Canada,Guatemala,15,10,2,3
Canada,Haiti,11,8,2,1
Canada,Panama,14,6,6,2
Canada,Trinidad,10,6,1,3
Canada,Costa Rica,22,6,8,8
Canada,Bermuda,9,6,3,0
Canada,Mexico,37,5,10,22
Canada,Suriname,4,4,0,0
Canada,Martinique,6,4,1,1
Canada,Australia,10,3,1,6
Canada,New Zealand,5,3,1,1
Canada,Belize,4,3,1,0
Canada,Barbados,3,3,0,0
Canada,Dominica,3,3,0,0
Canada,Curaçao,4,3,1,0
Canada,Venezuela,4,2,2,0
Canada,Uzbekistan,2,2,0,0
Canada,Luxembourg,2,2,0,0
Canada,South Korea,5,2,1,2
Canada,Wales,4,2,0,2
Canada,N. Ireland,3,2,1,0
Canada,Puerto Rico,3,2,1,0
Canada,St. Kitts/Nevis,3,2,1,0
Canada,Saint Lucia,2,2,0,0
Canada,St. Vincent,2,2,0,0
Canada,French Guiana,2,2,0,0
Canada,Greece,4,1,0,3
Canada,Austria,1,1,0,0
Canada,Switzerland,1,1,0,0
Canada,Japan,4,1,0,3
Canada,Nigeria,1,1,0,0
Canada,Romania,1,1,0,0
Canada,Belarus,2,1,0,1
Canada,Iran,3,1,0,2
Canada,Peru,2,1,0,1
Canada,Cyprus,2,1,1,0
Canada,Ukraine,2,1,1,0
Canada,Chile,4,1,1,2
Canada,Colombia,4,1,1,2
Canada,Macedonia,2,1,0,1
Canada,China,1,1,0,0
Canada,Libya,1,1,0,0
Canada,Faroe Islands,2,1,0,1
Canada,San Marino,1,1,0,0
Canada,Qatar,1,1,0,0
Canada,Mauritania,3,1,1,1
Canada,Hong Kong,1,1,0,0
Canada,US Virgin,1,1,0,0
Canada,Aruba,1,1,0,0
Canada,Cayman Islands,1,1,0,0
Canada,Guadeloupe,3,1,1,1
Canada,Germany,2,0,0,2
Canada,England,1,0,0,1
Canada,Portugal,2,0,1,1
Canada,Spain,2,0,0,2
Canada,Italy,1,0,0,1
Canada,France,2,0,1,1
Canada,Netherlands,2,0,0,2
Canada,Scotland,6,0,1,5
Canada,Turkiye,2,0,0,2
Canada,Belgium,2,0,0,2
Canada,Bulgaria,1,0,1,0
Canada,Cameroon,1,0,0,1
Canada,Denmark,2,0,0,2
Canada,Argentina,3,0,0,3
Canada,Brazil,4,0,2,2
Canada,Ghana,1,0,1,0
Canada,Poland,6,0,0,6
Canada,Finland,1,0,0,1
Canada,Czechia,2,0,0,2
Canada,Uruguay,2,0,0,2
Canada,Hungary,2,0,0,2
Canada,Ireland,2,0,1,1
Canada,Croatia,1,0,0,1
Canada,Iceland,5,0,3,2
Canada,Morocco,3,0,1,2
Canada,Paraguay,1,0,1,0
Canada,Malta,1,0,0,1
Canada,Slovenia,1,0,0,1
Canada,Ivory Coast,1,0,0,1
Canada,Tunisia,2,0,1,1
Canada,Egypt,1,0,0,1
Canada,South Africa,1,0,0,1
Canada,Saudi Arabia,1,0,0,1
Canada,Ecuador,4,0,2,2
Canada,Moldova,1,0,1,0
Canada,Estonia,2,0,0,2
Canada,Armenia,1,0,0,1
Canada,Bahrain,1,0,1,0
Canada,Azerbaijan,1,0,1,0
Canada,East Germany,3,0,0,3
Canada,USSR,1,0,0,1
Qatar,Oman,18,11,3,4
Qatar,Jordan,17,11,3,3
Qatar,Kuwait,26,10,7,9
Qatar,Iraq,24,10,2,12
Qatar,UAE,23,9,8,6
Qatar,Palestine,10,8,1,1
Qatar,Afghanistan,9,7,2,0
Qatar,Lebanon,8,7,1,0
Qatar,China,20,7,5,8
Qatar,Yemen,8,7,1,0
Qatar,Hong Kong,7,7,0,0
Qatar,Saudi Arabia,26,6,12,8
Qatar,Syria,13,6,4,3
Qatar,Singapore,7,6,0,1
Qatar,Uzbekistan,17,5,2,10
Qatar,Iran,28,5,5,18
Qatar,Bangladesh,6,5,1,0
Qatar,Thailand,6,4,1,1
Qatar,Bahrain,22,4,10,8
Qatar,India,5,4,1,0
Qatar,Indonesia,6,4,1,1
Qatar,Tajikistan,5,4,0,1
Qatar,Malaysia,7,4,3,0
Qatar,Japan,9,3,4,2
Qatar,South Korea,11,3,2,6
Qatar,Egypt,7,3,1,3
Qatar,Vietnam,5,3,1,1
Qatar,Sri Lanka,3,3,0,0
Qatar,Maldives,3,3,0,0
Qatar,North Korea,9,3,3,3
Qatar,Tunisia,3,2,0,1
Qatar,Kyrgyzstan,4,2,1,1
Qatar,Estonia,2,2,0,0
Qatar,Libya,3,2,0,1
Qatar,Kazakhstan,4,2,0,2
Qatar,Sudan,3,2,1,0
Qatar,El Salvador,2,2,0,0
Qatar,Bhutan,2,2,0,0
Qatar,Laos,2,2,0,0
Qatar,Switzerland,1,1,0,0
Qatar,Bulgaria,2,1,0,1
Qatar,Australia,5,1,1,3
Qatar,Serbia,3,1,0,2
Qatar,Finland,4,1,3,0
Qatar,Bosnia,2,1,1,0
Qatar,Russia,4,1,1,2
Qatar,Latvia,1,1,0,0
Qatar,Albania,3,1,0,2
Qatar,Luxembourg,2,1,1,0
Qatar,Paraguay,2,1,1,0
Qatar,Slovenia,3,1,1,1
Qatar,Honduras,2,1,1,0
Qatar,Algeria,5,1,1,3
Qatar,Jamaica,2,1,1,0
Qatar,Macedonia,3,1,1,1
Qatar,Ecuador,2,1,0,1
Qatar,Mexico,1,1,0,0
Qatar,Azerbaijan,4,1,2,1
Qatar,Andorra,1,1,0,0
Qatar,Guatemala,1,1,0,0
Qatar,Grenada,1,1,0,0
Qatar,Mauritius,1,1,0,0
Qatar,Turkmenistan,1,1,0,0
Qatar,Philippines,1,1,0,0
Qatar,Nicaragua,1,1,0,0
Qatar,Pakistan,1,1,0,0
Qatar,Portugal,2,0,0,2
Qatar,Greece,1,0,0,1
Qatar,Netherlands,1,0,0,1
Qatar,Scotland,1,0,0,1
Qatar,Turkiye,1,0,0,1
Qatar,Belgium,1,0,0,1
Qatar,Argentina,2,0,0,2
Qatar,Brazil,1,0,0,1
Qatar,Norway,1,0,0,1
Qatar,Ghana,1,0,0,1
Qatar,Czechia,1,0,0,1
Qatar,Hungary,3,0,1,2
Qatar,Senegal,1,0,0,1
Qatar,USA,1,0,0,1
Qatar,Ireland,3,0,1,2
Qatar,Canada,1,0,0,1
Qatar,Croatia,1,0,0,1
Qatar,Sweden,3,0,1,2
Qatar,Iceland,2,0,2,0
Qatar,Morocco,1,0,1,0
Qatar,Panama,2,0,1,1
Qatar,Zimbabwe,2,0,0,2
Qatar,Peru,1,0,0,1
Qatar,Malta,1,0,0,1
Qatar,Ivory Coast,1,0,0,1
Qatar,Georgia,1,0,0,1
Qatar,Mali,1,0,1,0
Qatar,Chile,1,0,1,0
Qatar,Colombia,1,0,0,1
Qatar,DR Congo,1,0,1,0
Qatar,Wales,1,0,0,1
Qatar,Liechtenstein,1,0,0,1
Qatar,N. Ireland,1,0,1,0
Qatar,Burkina Faso,1,0,1,0
Qatar,Moldova,1,0,1,0
Qatar,Costa Rica,1,0,1,0
Qatar,New Zealand,1,0,0,1
Qatar,Haiti,2,0,0,2
Qatar,Myanmar,1,0,1,0
Qatar,Curaçao,1,0,0,1
Colombia,Venezuela,45,22,16,7
Colombia,Ecuador,41,22,10,9
Colombia,Paraguay,45,21,7,17
Colombia,Peru,49,19,18,12
Colombia,USA,22,16,3,3
Colombia,Bolivia,31,16,10,5
Colombia,Uruguay,43,12,11,20
Colombia,Chile,40,12,14,14
Colombia,Costa Rica,13,11,0,2
Colombia,Argentina,42,10,9,23
Colombia,Mexico,23,10,7,6
Colombia,El Salvador,8,6,1,1
Colombia,Panama,7,5,0,2
Colombia,Honduras,12,5,3,4
Colombia,Japan,6,4,1,1
Colombia,Brazil,38,4,12,22
Colombia,Poland,6,4,0,2
Colombia,Jamaica,5,4,0,1
Colombia,Nigeria,4,3,1,0
Colombia,Guatemala,5,3,2,0
Colombia,Greece,2,2,0,0
Colombia,Switzerland,4,2,1,1
Colombia,Cameroon,4,2,0,2
Colombia,Senegal,3,2,1,0
Colombia,Slovakia,3,2,1,0
Colombia,Canada,4,2,1,1
Colombia,Trinidad,3,2,0,1
Colombia,New Zealand,2,2,0,0
Colombia,Haiti,2,2,0,0
Colombia,Germany,5,1,2,2
Colombia,Spain,4,1,2,1
Colombia,France,5,1,0,4
Colombia,Scotland,3,1,2,0
Colombia,Belgium,2,1,0,1
Colombia,Kuwait,1,1,0,0
Colombia,Australia,2,1,1,0
Colombia,Serbia,1,1,0,0
Colombia,Finland,1,1,0,0
Colombia,Romania,4,1,1,2
Colombia,Iraq,1,1,0,0
Colombia,Morocco,1,1,0,0
Colombia,Slovenia,1,1,0,0
Colombia,South Korea,7,1,3,3
Colombia,Ivory Coast,1,1,0,0
Colombia,Tunisia,2,1,1,0
Colombia,Saudi Arabia,1,1,0,0
Colombia,UAE,1,1,0,0
Colombia,Israel,2,1,1,0
Colombia,China,2,1,0,1
Colombia,N. Ireland,1,1,0,0
Colombia,Bahrain,1,1,0,0
Colombia,Liberia,1,1,0,0
Colombia,Montenegro,1,1,0,0
Colombia,Qatar,1,1,0,0
Colombia,Jordan,1,1,0,0
Colombia,USSR,3,1,1,1
Colombia,Puerto Rico,1,1,0,0
Colombia,Curaçao,1,1,0,0
Colombia,Venezuela U23,1,1,0,0
Colombia,England,6,0,2,4
Colombia,Netherlands,1,0,1,0
Colombia,Turkiye,1,0,0,1
Colombia,Norway,1,0,1,0
Colombia,Hungary,1,0,0,1
Colombia,Ireland,1,0,0,1
Colombia,Croatia,1,0,0,1
Colombia,Sweden,2,0,2,0
Colombia,Algeria,1,0,0,1
Colombia,Egypt,1,0,1,0
Colombia,South Africa,1,0,0,1
Colombia,East Germany,1,0,0,1
Colombia,Yugoslavia,4,0,1,3
Korea Republic,Japan,75,38,18,19
Korea Republic,Thailand,43,28,5,10
Korea Republic,Indonesia,32,28,2,2
Korea Republic,Hong Kong,31,27,3,1
Korea Republic,China,39,25,12,2
Korea Republic,Malaysia,43,25,9,9
Korea Republic,Singapore,22,19,2,1
Korea Republic,Myanmar,23,15,4,4
Korea Republic,Kuwait,26,14,4,8
Korea Republic,UAE,20,13,4,3
Korea Republic,India,15,13,1,1
Korea Republic,Chinese Taipei,19,13,1,5
Korea Republic,Lebanon,16,12,3,1
Korea Republic,Bahrain,18,12,4,2
Korea Republic,Iraq,23,11,8,4
Korea Republic,Uzbekistan,16,11,4,1
Korea Republic,Iran,32,11,8,13
Korea Republic,Philippines,9,9,0,0
Korea Republic,Australia,25,7,8,10
Korea Republic,Saudi Arabia,18,7,5,6
Korea Republic,Nepal,7,7,0,0
Korea Republic,North Korea,17,7,10,0
Korea Republic,South Vietnam,12,7,4,1
Korea Republic,Vietnam,7,6,0,1
Korea Republic,Qatar,11,6,2,3
Korea Republic,Ghana,9,5,0,4
Korea Republic,Israel,11,5,4,2
Korea Republic,Mexico,15,5,2,8
Korea Republic,New Zealand,6,5,1,0
Korea Republic,Syria,9,5,3,1
Korea Republic,Oman,8,5,2,1
Korea Republic,Khmer Republic,6,5,0,1
Korea Republic,USA,8,4,2,2
Korea Republic,Paraguay,7,4,2,1
Korea Republic,Egypt,10,4,5,1
Korea Republic,Costa Rica,9,4,2,3
Korea Republic,Turkmenistan,5,4,0,1
Korea Republic,Jordan,9,4,4,1
Korea Republic,Laos,4,4,0,0
Korea Republic,Greece,4,3,1,0
Korea Republic,Cameroon,5,3,2,0
Korea Republic,Finland,3,3,0,0
Korea Republic,Nigeria,5,3,2,0
Korea Republic,Honduras,3,3,0,0
Korea Republic,Colombia,7,3,3,1
Korea Republic,Sri Lanka,3,3,0,0
Korea Republic,Macau,3,3,0,0
Korea Republic,Germany,4,2,0,2
Korea Republic,Portugal,2,2,0,0
Korea Republic,Canada,5,2,1,2
Korea Republic,Latvia,2,2,0,0
Korea Republic,Croatia,7,2,2,3
Korea Republic,Iceland,2,2,0,0
Korea Republic,Jamaica,4,2,2,0
Korea Republic,Ukraine,2,2,0,0
Korea Republic,Zambia,4,2,0,2
Korea Republic,Bolivia,4,2,2,0
Korea Republic,Moldova,2,2,0,0
Korea Republic,Bangladesh,2,2,0,0
Korea Republic,Pakistan,2,2,0,0
Korea Republic,North Yemen,2,2,0,0
Korea Republic,Spain,6,1,1,4
Korea Republic,Italy,2,1,0,1
Korea Republic,Scotland,1,1,0,0
Korea Republic,Turkiye,7,1,2,4
Korea Republic,Switzerland,2,1,0,1
Korea Republic,Serbia,3,1,1,1
Korea Republic,Brazil,9,1,0,8
Korea Republic,Norway,4,1,1,2
Korea Republic,Poland,3,1,1,1
Korea Republic,Czechia,3,1,1,1
Korea Republic,Bosnia,2,1,0,1
Korea Republic,Uruguay,10,1,2,7
Korea Republic,Senegal,4,1,1,2
Korea Republic,Venezuela,1,1,0,0
Korea Republic,Afghanistan,1,1,0,0
Korea Republic,Luxembourg,2,1,0,1
Korea Republic,Angola,1,1,0,0
Korea Republic,Malta,2,1,1,0
Korea Republic,Ivory Coast,2,1,0,1
Korea Republic,Algeria,2,1,0,1
Korea Republic,Tunisia,3,1,1,1
Korea Republic,Mali,1,1,0,0
Korea Republic,Chile,3,1,1,1
Korea Republic,Togo,1,1,0,0
Korea Republic,Kyrgyzstan,1,1,0,0
Korea Republic,Macedonia,2,1,1,0
Korea Republic,Ecuador,2,1,0,1
Korea Republic,Burkina Faso,1,1,0,0
Korea Republic,Libya,1,1,0,0
Korea Republic,Trinidad,2,1,1,0
Korea Republic,Kazakhstan,2,1,1,0
Korea Republic,Guatemala,3,1,0,2
Korea Republic,El Salvador,2,1,1,0
Korea Republic,Tajikistan,1,1,0,0
Korea Republic,Haiti,1,1,0,0
Korea Republic,Brunei,1,1,0,0
Korea Republic,Maldives,2,1,1,0
Korea Republic,Mongolia,1,1,0,0
Korea Republic,Guam,1,1,0,0
Korea Republic,Serbia-Mont.,1,1,0,0
Korea Republic,England,1,0,1,0
Korea Republic,France,3,0,1,2
Korea Republic,Netherlands,2,0,0,2
Korea Republic,Belgium,4,0,1,3
Korea Republic,Austria,1,0,0,1
Korea Republic,Bulgaria,2,0,1,1
Korea Republic,Denmark,2,0,1,1
Korea Republic,Argentina,3,0,0,3
Korea Republic,Romania,1,0,0,1
Korea Republic,Russia,3,0,1,2
Korea Republic,Belarus,1,0,0,1
Korea Republic,Hungary,2,0,0,2
Korea Republic,Slovakia,1,0,1,0
Korea Republic,Sweden,5,0,2,3
Korea Republic,Morocco,3,0,2,1
Korea Republic,Panama,1,0,1,0
Korea Republic,Peru,3,0,1,2
Korea Republic,Georgia,1,0,1,0
Korea Republic,Cuba,1,0,1,0
Korea Republic,Wales,1,0,1,0
Korea Republic,N. Ireland,1,0,0,1
Korea Republic,Yugoslavia,6,0,3,3
Korea Republic,Palestine,2,0,2,0
Korea Republic,South Yemen,1,0,1,0
Côte d'Ivoire,Mali,18,12,4,2
Côte d'Ivoire,Guinea,16,10,4,2
Côte d'Ivoire,Cameroon,21,9,3,9
Côte d'Ivoire,Senegal,14,8,2,4
Côte d'Ivoire,Gabon,14,8,3,3
Côte d'Ivoire,Ghana,16,7,3,6
Côte d'Ivoire,Tunisia,18,7,7,4
Côte d'Ivoire,Burkina Faso,14,7,5,2
Côte d'Ivoire,Sierra Leone,11,7,3,1
Côte d'Ivoire,Burundi,7,7,0,0
Côte d'Ivoire,Egypt,22,6,4,12
Côte d'Ivoire,DR Congo,12,6,3,3
Côte d'Ivoire,Rwanda,8,6,1,1
Côte d'Ivoire,Mozambique,8,6,2,0
Côte d'Ivoire,Sudan,8,6,2,0
Côte d'Ivoire,Niger,7,6,0,1
Côte d'Ivoire,Madagascar,8,6,2,0
Côte d'Ivoire,Morocco,16,5,6,5
Côte d'Ivoire,Benin,7,5,1,1
Côte d'Ivoire,The Gambia,5,5,0,0
Côte d'Ivoire,Libya,7,5,1,1
Côte d'Ivoire,Liberia,6,5,1,0
Côte d'Ivoire,Nigeria,16,4,6,6
Côte d'Ivoire,Algeria,16,4,5,7
Côte d'Ivoire,Congo,10,4,4,2
Côte d'Ivoire,Zambia,12,4,1,7
Côte d'Ivoire,Togo,9,4,5,0
Côte d'Ivoire,Namibia,6,3,1,2
Côte d'Ivoire,Angola,4,3,0,1
Côte d'Ivoire,Malawi,4,3,1,0
Côte d'Ivoire,Ethiopia,5,3,0,2
